series,total_markets,live_now,today,upcoming,backtest_n,wins,accuracy,expected_profit,profitable,example_title
KXATPSETWINNER,952,0,24,928,47,36,76.59574468085107,-0.1540425531914893,False,Will Yibing Wu win set 2 in the Casper Ruud vs Yibing Wu mat
KXNBAGAME,1000,0,20,980,32,32,100.0,0.07999999999999996,True,Boston at Denver Winner?
KXNBABLK,1000,0,18,982,2,2,100.0,0.07999999999999996,True,Mark Williams: 3+ blocks
KXNCAAMLAXGAME,168,0,18,150,0,0,0.0,0.0,False,Syracuse vs Princeton Winner?
KXTRUMPMENTION,1000,0,17,983,66,49,74.24242424242425,-0.1775757575757575,False,What will Donald Trump say during 2026 State of the Union?
KXWTAMATCH,1000,0,16,984,88,85,96.5909090909091,0.045909090909090906,True,Will Donna Vekic win the Bucsa vs Vekic : Round Of 32 match?
KXUCLTOTAL,334,0,16,318,59,53,89.83050847457628,-0.02169491525423728,False,Dortmund at Atalanta: Totals
KXVALORANTGAME,313,0,16,297,65,54,83.07692307692308,-0.08923076923076922,False,Will sleepers win the sleepers vs. SaD Esports Valorant matc
KXMAMDANIMENTION,808,0,16,792,87,70,80.45977011494253,-0.11540229885057474,False,What will Zohran Mamdani say during Press Conference on Febr
KXUCLSPREAD,424,0,16,408,12,8,66.66666666666666,-0.2533333333333335,False,Dortmund wins by over 2.5 goals?
KXSPOTIFYGLOBALD,1000,0,15,985,1,1,100.0,0.07999999999999996,True,"Top Global Song on Spotify on Feb 24, 2026?"
KXARGPREMDIVGAME,330,0,15,315,60,52,86.66666666666667,-0.053333333333333344,False,Racing Avellaneda vs Rivadavia Winner?
KXSPOTIFY2D,1000,0,15,985,4,3,75.0,-0.17000000000000004,False,"Will the runner-up top Song on Feb 24, 2026 be Tití Me Pregu"
KXSPOTIFYARTISTD,1000,0,15,985,3,2,66.66666666666666,-0.2533333333333335,False,"Top USA Artist on Spotify on Feb 24, 2026?"
KXSPOTIFYD,1000,0,15,985,2,1,50.0,-0.42000000000000004,False,"Top USA Song on Spotify on Feb 24, 2026?"
KXEURUSD,1000,0,15,985,2,0,0.0,-0.92,False,"Will the EUR/USD open price be above 1.19399 at Feb 24, 2026"
KXUSDJPY,1000,0,15,985,0,0,0.0,0.0,False,"Will the USD/JPY open price be above 156.499 at Feb 24, 2026"
KXNETFLIXRANKSHOW,738,0,13,725,12,11,91.66666666666666,-0.0033333333333335213,False,"Top US Netflix Show on Feb 23, 2026?"
KXNETFLIXRANKSHOWRUNNERUP,160,0,13,147,14,7,50.0,-0.42000000000000004,False,"#2 US Netflix Show on Feb 23, 2026?"
KXATPMATCH,1000,0,12,988,70,68,97.14285714285714,0.051428571428571386,True,Will Yibing Wu win the Ruud vs Wu : Round Of 32 match?
KXUCLGAME,492,0,12,480,51,47,92.15686274509804,0.0015686274509802978,True,PSG vs Monaco Winner?
KXNBA3D,537,0,12,525,6,1,16.666666666666664,-0.7533333333333334,False,Anthony Edwards: Triple Double
KXTOPALBUM,643,0,11,632,7,7,100.0,0.07999999999999996,True,"Billboard Top 200 #1 on Mar 7, 2026 chart?"
KXBILLBOARDRUNNERUPSONG,559,0,11,548,11,7,63.63636363636363,-0.2836363636363637,False,"Billboard Hot 100 #2 on Mar 7, 2026 chart?"
KXNETFLIXRANKMOVIE,764,0,11,753,18,11,61.111111111111114,-0.3088888888888889,False,"Top US Netflix Movie on Feb 23, 2026?"
KXBILLBOARDRUNNERUPALBUM,521,0,10,511,9,9,100.0,0.07999999999999996,True,"Billboard 200 #2 on Mar 7, 2026 chart?"
KXKHLGAME,334,0,10,324,41,35,85.36585365853658,-0.06634146341463422,False,Kunlun Red Star vs CSKA Moscow Winner?
KXNETFLIXRANKMOVIERUNNERUP,174,0,10,164,11,6,54.54545454545454,-0.3745454545454546,False,"#2 US Netflix Movie on Feb 23, 2026?"
KXSAUDIPLGAME,429,0,9,420,58,54,93.10344827586206,0.011034482758620623,True,Al-Shabab vs Al Hilal Winner?
KXDOTA2GAME,826,0,8,818,58,51,87.93103448275862,-0.04068965517241385,False,Will MOUZ win the MOUZ vs. Aurora Dota 2 match?
KXLOWTMIA,444,0,6,438,14,14,100.0,0.07999999999999996,True,"Will the minimum temperature be  >43° on Feb 24, 2026?"
KXHIGHTNOLA,252,0,6,246,16,16,100.0,0.07999999999999996,True,"Will the maximum temperature be  >67° on Feb 24, 2026?"
KXHIGHLAX,1000,0,6,994,28,27,96.42857142857143,0.04428571428571427,True,"Will the **high temp in LA** be >76° on Feb 24, 2026?"
KXHIGHNY,1000,0,6,994,26,25,96.15384615384616,0.041538461538461524,True,"Will the **high temp in NYC** be >35° on Feb 24, 2026?"
KXLOWTPHIL,444,0,6,438,22,21,95.45454545454545,0.034545454545454546,True,"Will the minimum temperature be  >24° on Feb 24, 2026?"
KXHIGHTLV,252,0,6,246,17,16,94.11764705882352,0.02117647058823513,True,"Will the maximum temperature be  >78° on Feb 24, 2026?"
KXHIGHMIA,1000,0,6,994,27,25,92.5925925925926,0.00592592592592589,True,"Will the **high temp in Miami** be >68° on Feb 24, 2026?"
KXHIGHDEN,1000,0,6,994,26,23,88.46153846153845,-0.03538461538461546,False,"Will the **high temp in Denver** be >73° on Feb 24, 2026?"
KXHIGHAUS,1000,0,6,994,32,28,87.5,-0.04500000000000004,False,"Will the **high temp in Austin** be >80° on Feb 24, 2026?"
KXLOWTAUS,444,0,6,438,15,13,86.66666666666667,-0.053333333333333344,False,"Will the minimum temperature be  >38° on Feb 24, 2026?"
KXAHLGAME,498,0,6,492,45,38,84.44444444444444,-0.07555555555555561,False,Abbotsford Canucks vs Calgary Wranglers Winner?
KXHIGHPHIL,1000,0,6,994,19,16,84.21052631578947,-0.07789473684210536,False,"Will the **high temp in Philadelphia** be >38° on Feb 24, 20"
KXHIGHCHI,1000,0,6,994,25,21,84.0,-0.08000000000000006,False,"Will the high temp in Chicago be >47° on Feb 24, 2026?"
KXHIGHTDC,234,0,6,228,17,14,82.35294117647058,-0.09647058823529421,False,"Will the maximum temperature be  >44° on Feb 24, 2026?"
KXLOWTNYC,444,0,6,438,21,17,80.95238095238095,-0.11047619047619052,False,"Will the minimum temperature be  >24° on Feb 24, 2026?"
KXLOWTLAX,444,0,6,438,21,17,80.95238095238095,-0.11047619047619052,False,"Will the minimum temperature be  >55° on Feb 24, 2026?"
KXLOWTCHI,444,0,6,438,20,16,80.0,-0.12,False,"Will the minimum temperature be  >21° on Feb 24, 2026?"
KXHIGHTSEA,252,0,6,246,18,14,77.77777777777779,-0.14222222222222214,False,"Will the maximum temperature be  >51° on Feb 24, 2026?"
KXHIGHTSFO,252,0,6,246,23,16,69.56521739130434,-0.22434782608695658,False,"Will the maximum temperature be  >65° on Feb 24, 2026?"
KXLOWTDEN,444,0,6,438,17,11,64.70588235294117,-0.27294117647058835,False,"Will the minimum temperature be  >38° on Feb 24, 2026?"
KXT20MATCH,146,0,4,142,11,11,100.0,0.07999999999999996,True,Japan vs Bahrain Winner?
KXCS2MAP,936,0,4,932,27,24,88.88888888888889,-0.0311111111111112,False,Will ShindeN win map 2 in the Bounty Hunters Esports vs. Shi
KXSHLGAME,156,0,2,154,13,13,100.0,0.07999999999999996,True,Linkoping HC vs Växjö Lakers Winner?
KXRAINNYC,754,0,1,753,34,28,82.35294117647058,-0.09647058823529421,False,Will it **rain** in New York City on Tuesday?
KXCS2TOTALMAPS,221,0,1,220,12,8,66.66666666666666,-0.2533333333333335,False,Will over 2.5 maps be played in the Yawara Esports vs. Fluxo
KXSPOTIFYW,864,0,0,864,1,1,100.0,0.07999999999999996,True,"Top Song on Weekly Top Songs USA on Feb 26, 2026?"
KXRANKLISTSONGTOP10,132,0,0,132,6,6,100.0,0.07999999999999996,True,Will Yukon be Top 10 on the Billboard Hot 100 for February 2
KXARGINFLATIONM,75,0,0,75,5,5,100.0,0.07999999999999996,True,Argentina inflation in Jul 2025 above 75?
KXCPIFOOD,104,0,0,104,10,10,100.0,0.07999999999999996,True,Will food CPI rise more than 0.4% in April 2025?
KXFED,489,0,0,489,13,13,100.0,0.07999999999999996,True,Will the upper bound of the federal funds rate be above 4.25
KXJOBLESS,74,0,0,74,3,3,100.0,0.07999999999999996,True,"Will **initial jobless claims** be higher than 240,000 for t"
KXPCECORE,145,0,0,145,8,8,100.0,0.07999999999999996,True,Will the rate of core PCE inflation be above 0.4% in Novembe
KXFEAR,115,0,0,115,4,4,100.0,0.07999999999999996,True,"What will the Fear & Greed Index be on Aug 8, 2025?"
KXFRM,505,0,0,505,15,15,100.0,0.07999999999999996,True,Will the 30-Year Fixed Rate Mortgage rate be above 6.9%?
KXFEDDECISION,200,0,0,200,11,11,100.0,0.07999999999999996,True,Will the Federal Reserve Hike rates by >25bps at their Janua
KXFLIGHTORD,162,0,0,162,8,8,100.0,0.07999999999999996,True,Will there be more than 800 delays and cancellations at O'Ha
KXTNOTE,68,0,0,68,17,17,100.0,0.07999999999999996,True,Will the yield of 10-year U.S. treasury notes be above 3.72 
KXTNOTEW,1000,0,0,1000,1,1,100.0,0.07999999999999996,True,Will the yield of 10-year U.S. treasury notes be above 4.28 
KXEUROIMF,66,0,0,66,9,9,100.0,0.07999999999999996,True,Will the EUR/USD exchange rate be above 1.035?
KXGBP,73,0,0,73,14,14,100.0,0.07999999999999996,True,"Will the GBP/USD exchange rate be above 1.225 on August 11, "
KXGOLD,95,0,0,95,3,3,100.0,0.07999999999999996,True,"Will the gold open price be above $1730 at Oct 6, 2022 at 4p"
KX538APPROVEMAX,89,0,0,89,2,2,100.0,0.07999999999999996,True,Will the President's approval rating ever get above 42% by N
KXKNVBCUPGAME,36,0,0,36,11,11,100.0,0.07999999999999996,True,Telstar vs GA Eagles Winner?
KXWTAMAD,62,0,0,62,11,11,100.0,0.07999999999999996,True,Will Aryna Sabalenka be a winner of the final of WTA Madrid?
KXATPIT,92,0,0,92,20,20,100.0,0.07999999999999996,True,Will Jannik Sinner be a winner of the final of ATP Rome?
KXFACUPADVANCE,96,0,0,96,7,7,100.0,0.07999999999999996,True,Macclesfield vs Brentford
KXR6MAP,198,0,0,198,9,9,100.0,0.07999999999999996,True,Will Team Secret win map 3 in the Team Secret vs. FaZe Clan 
KXATPAMT,42,0,0,42,7,7,100.0,0.07999999999999996,True,Will Alejandro Davidovich Fokina be a winner of the semifina
KXPPLGAMES,30,0,0,30,4,4,100.0,0.07999999999999996,True,Will San Diego Stingrays win the PPL Men's Match: Miami Pade
KXCRICKETODIMATCH,32,0,0,32,7,7,100.0,0.07999999999999996,True,Sri Lanka vs England Winner?
KXWOSSKATE,757,0,0,757,3,3,100.0,0.07999999999999996,True,Will Femke Kok win the gold medal in Speed Skating Women's 1
KXF1RACE,487,0,0,487,10,10,100.0,0.07999999999999996,True,Abu Dhabi Grand Prix 2025 Winner?
KXWOCURLGAME,200,0,0,200,7,7,100.0,0.07999999999999996,True,Sweden vs Switzerland Winner?
KXLLM1,178,0,0,178,8,8,100.0,0.07999999999999996,True,Best AI in Feb 2026?
KXNCAAFGAME,1000,0,0,1000,51,50,98.0392156862745,0.06039215686274502,True,Miami (FL) at Ole Miss Winner?
KXNFLGAME,664,0,0,664,36,35,97.22222222222221,0.05222222222222205,True,Houston at New England Winner?
KXNCAAFTOTAL,1000,0,0,1000,105,101,96.19047619047619,0.04190476190476188,True,Miami (FL) at Indiana: Total Points
KXSCOTTISHPREMGAME,276,0,0,276,52,50,96.15384615384616,0.041538461538461524,True,Livingston vs Rangers Winner?
KXNHLGAME,1000,0,0,1000,75,72,96.0,0.03999999999999993,True,Calgary at San Jose Winner?
KXCASED,262,0,0,262,46,44,95.65217391304348,0.03652173913043478,True,"Will there be over 125,000 **new COVID-19 cases** on Friday "
KXSNOWNYM,91,0,0,91,21,20,95.23809523809523,0.03238095238095218,True,Will it snow more than 10.0 inches in New York City in Febru
KXNFLTOTAL,1000,0,0,1000,78,74,94.87179487179486,0.028717948717948527,True,Seattle at New England: Total Points
KXFIFAGAME,363,0,0,363,58,55,94.82758620689656,0.028275862068965478,True,Peru vs Bolivia Winner?
KXLIGUE1GAME,648,0,0,648,57,54,94.73684210526315,0.027368421052631493,True,Marseille vs Lyon Winner?
KXCPIGAS,177,0,0,177,18,17,94.44444444444444,0.02444444444444438,True,Will gas CPI rise more than -4% in March 2025?
KXLEAVITTLATE,60,0,0,60,18,17,94.44444444444444,0.02444444444444438,True,Will Karoline Leavitt be more than 15 minutes late to Press 
KXEUROLEAGUEGAME,382,0,0,382,89,84,94.3820224719101,0.023820224719101064,True,Bayern Munich vs Real Madrid Winner?
KXNFLMENTION,1000,0,0,1000,71,67,94.36619718309859,0.023661971830985846,True,What will the announcers say during 2026 Pro Football Champi
KXMLBGAME,1000,0,0,1000,65,61,93.84615384615384,0.018461538461538307,True,Los Angeles D vs Toronto (Game 6) Winner?
KXNFLPREPACKSGP,368,0,0,368,32,30,93.75,0.017499999999999953,True,"Seattle covers -4.5 spread, Seattle and New England collecti"
KXMTA,49,0,0,49,16,15,93.75,0.017499999999999953,True,Will more than 3500000 people ride the **subway in New York 
KXINXZ,143,0,0,143,46,43,93.47826086956522,0.01478260869565217,True,"Will the S&P 500 be above 5241.53 at the end of Mar 22, 2024"
KXNFLSPREAD,1000,0,0,1000,46,43,93.47826086956522,0.01478260869565217,True,Seattle wins by over 23.5 points?
KXUFCFIGHT,568,0,0,568,44,41,93.18181818181817,0.011818181818181728,True,Will Brandon Moreno win the Moreno vs Kavanagh professional 
KXFACUPGAME,144,0,0,144,29,27,93.10344827586206,0.011034482758620623,True,Macclesfield vs Brentford Winner?
KXGDP,186,0,0,186,43,40,93.02325581395348,0.01023255813953483,True,Will **real GDP** increase by more than 4.5% in Q1 2026?
KXCPIYOY,520,0,0,520,28,26,92.85714285714286,0.008571428571428563,True,Will the rate of CPI inflation be above 2.8% for the year en
KXCASEW,55,0,0,55,14,13,92.85714285714286,0.008571428571428563,True,"Will there be over 700,000 **new COVID-19 cases** for the we"
KXAAAGASM,253,0,0,253,27,25,92.5925925925926,0.00592592592592589,True,Will average **gas prices** be above $2.98?
KXNASDAQ100Z,143,0,0,143,27,25,92.5925925925926,0.00592592592592589,True,"Will the Nasdaq-100 be above 18320.38 at the end of Mar 22, "
KXHNLGAME,138,0,0,138,27,25,92.5925925925926,0.00592592592592589,True,Slaven Belupo vs Istra 1961 Winner?
KXMLBSPREAD,240,0,0,240,40,37,92.5,0.0050000000000000044,True,Toronto wins by over 3.5 runs?
KXCPIUSEDCAR,136,0,0,136,13,12,92.3076923076923,0.003076923076922977,True,Will CPI rise more than -3% in May 2025?
KXUNITEDCUPMATCH,104,0,0,104,39,36,92.3076923076923,0.003076923076922977,True,Will Stan Wawrinka win the Hurkacz vs Wawrinka : Final match
KXFLIGHTJFK,162,0,0,162,12,11,91.66666666666666,-0.0033333333333335213,False,Will there be more than 800 delays and cancellations at JFK 
KXUELGAME,324,0,0,324,58,53,91.37931034482759,-0.006206896551724128,False,Bologna vs Brann Winner?
KXEPLGAME,894,0,0,894,46,42,91.30434782608695,-0.006956521739130528,False,Tottenham vs Crystal Palace Winner?
KXSUPERLIGGAME,357,0,0,357,56,51,91.07142857142857,-0.009285714285714342,False,Trabzonspor vs Karagumruk Winner?
KXAPPRANKFREE,1000,0,0,1000,11,10,90.9090909090909,-0.01090909090909098,False,"Top US iPhone app on Nov 14, 2025?"
KXSLGREECEGAME,105,0,0,105,22,20,90.9090909090909,-0.01090909090909098,False,AEK Athens vs Levadiakos Winner?
KXWOWHOCKEY,54,0,0,54,11,10,90.9090909090909,-0.01090909090909098,False,Switzerland vs Sweden Winner?
KXCOPPAITALIAGAME,36,0,0,36,11,10,90.9090909090909,-0.01090909090909098,False,Bologna vs Lazio Winner?
KXTOPMODEL,156,0,0,156,11,10,90.9090909090909,-0.01090909090909098,False,What will be the top AI model this month?
KXNHLTOTAL,1000,0,0,1000,85,77,90.58823529411765,-0.014117647058823568,False,Calgary vs San Jose: Total Goals
KXFIBAECUPGAME,46,0,0,46,21,19,90.47619047619048,-0.015238095238095273,False,BC Prievidza vs Sporting Cp Winner?
KXHURCAT,344,0,0,344,21,19,90.47619047619048,-0.015238095238095273,False,Will Wendy become a Category 5 hurricane?
KXCPI,496,0,0,496,30,27,90.0,-0.020000000000000018,False,Will CPI rise more than 0.5% in November 2026?
KXAFCCLGAME,72,0,0,72,10,9,90.0,-0.020000000000000018,False,Shanghai Port vs Ulsan HD Winner?
KXDFBPOKALGAME,36,0,0,36,10,9,90.0,-0.020000000000000018,False,Bayern Munich vs Leipzig Winner?
KXU3,517,0,0,517,29,26,89.65517241379311,-0.02344827586206899,False,Will the unemployment rate (U-3) be above 4.7% in February?
KXBANKRUPTS,98,0,0,98,19,17,89.47368421052632,-0.025263157894736876,False,How many corporate bankruptcies will there be in month?
KXCOUPEDEFRANCEGAME,72,0,0,72,19,17,89.47368421052632,-0.025263157894736876,False,Strasbourg Alsace vs Monaco Winner?
KXAFCONGAME,153,0,0,153,47,42,89.36170212765957,-0.026382978723404338,False,Egypt vs Nigeria Winner?
KXCSGOGAME,286,0,0,286,83,74,89.1566265060241,-0.028433734939759092,False,Will Vitality win the FaZe vs. Vitality match?
KXRAINSEA,347,0,0,347,45,40,88.88888888888889,-0.0311111111111112,False,Will it rain in Seattle on Friday?
KXBOOSTER,35,0,0,35,9,8,88.88888888888889,-0.0311111111111112,False,Will more than 103.42 million Americans have COVID-19 booste
KXBUNDESLIGATOTAL,420,0,0,420,52,46,88.46153846153845,-0.03538461538461546,False,Wolfsburg at Stuttgart: Totals
KXLOLGAMES,78,0,0,78,26,23,88.46153846153845,-0.03538461538461546,False,Will Top Esports win 2025 LoL Worlds: T1 vs. Top Esports?
KXLALIGASPREAD,568,0,0,568,17,15,88.23529411764706,-0.03764705882352948,False,Real Madrid wins by over 2.5 goals?
KXAAAGASW,149,0,0,149,25,22,88.0,-0.040000000000000036,False,Will average **gas prices** be above $2.988?
KXLALIGAGAME,786,0,0,786,57,50,87.71929824561403,-0.04280701754385974,False,Real Madrid vs Getafe Winner?
KXAPPRANKFREE2,1000,0,0,1000,8,7,87.5,-0.04500000000000004,False,"Runner-up US iPhone app on Nov 14, 2025?"
KXGAS,467,0,0,467,32,28,87.5,-0.04500000000000004,False,Will average **gas prices** be above $3.90?
KXJLEAGUEGAME,189,0,0,189,24,21,87.5,-0.04500000000000004,False,Machida Z vs United Chiba Winner?
KXATPDOUBLES,30,0,0,30,8,7,87.5,-0.04500000000000004,False,Will Salisbury J / Skupski N win the Heliovaara H / Patten H
KXNBLGAME,188,0,0,188,63,55,87.3015873015873,-0.04698412698412702,False,New Zealand Breakers vs Adelaide 36ers Winner?
KXNCAAFSPREAD,1000,0,0,1000,63,55,87.3015873015873,-0.04698412698412702,False,Miami (FL) wins by over 9.5 points?
KXMLSGAME,1000,0,0,1000,63,55,87.3015873015873,-0.04698412698412702,False,Orlando vs Miami Winner?
KXKBLGAME,132,0,0,132,47,41,87.2340425531915,-0.047659574468085,False,Samsung Thunders vs Goyang Skygunners Winner?
KXCBAGAME,458,0,0,458,108,94,87.03703703703704,-0.04962962962962969,False,Zhejiang Golden Bulls at Xinjiang Flying Tigers Winner?
KXCONGRESSMENTION,199,0,0,199,107,93,86.91588785046729,-0.05084112149532716,False,What will Randy Fine say during Loomer Unleashed?
KXSERIEAGAME,810,0,0,810,61,53,86.88524590163934,-0.05114754098360663,False,Pisa vs Bologna Winner?
KXWNBAGAME,596,0,0,596,89,77,86.51685393258427,-0.05483146067415734,False,Las Vegas vs Phoenix (Game 4) Winner?
KXBUNDESLIGAGAME,654,0,0,654,58,50,86.20689655172413,-0.05793103448275873,False,Hamburg vs Leipzig Winner?
KXLNBELITEGAME,102,0,0,102,36,31,86.11111111111111,-0.05888888888888888,False,AS Monaco vs Nanterre 92 Winner?
KXFIBACHAMPLEAGUEGAME,82,0,0,82,43,37,86.04651162790698,-0.0595348837209302,False,CB Malaga vs Wurzburg Baskets Winner?
KXADP,150,0,0,150,7,6,85.71428571428571,-0.06285714285714294,False,ADP employment change in Nov 2026?
KXLAGODAYS,80,0,0,80,7,6,85.71428571428571,-0.06285714285714294,False,Will Trump make 5 trips to Mar-a-Lago as President in Feb 20
KX538APPROVEMIN,84,0,0,84,7,6,85.71428571428571,-0.06285714285714294,False,Will the President's approval rating ever get below 38% by N
KXLALIGATOTAL,465,0,0,465,49,42,85.71428571428571,-0.06285714285714294,False,Getafe at Real Madrid: Totals
KXEKSTRAKLASAGAME,120,0,0,120,21,18,85.71428571428571,-0.06285714285714294,False,Cracovia Krakow vs Gliwice Winner?
KXEFLCUPGAME,48,0,0,48,14,12,85.71428571428571,-0.06285714285714294,False,Manchester City vs Newcastle Winner?
KXLIGUE1TOTAL,360,0,0,360,35,30,85.71428571428571,-0.06285714285714294,False,Nice at Paris: Totals
KXLIGAPORTUGALGAME,387,0,0,387,55,47,85.45454545454545,-0.06545454545454554,False,Sporting CP vs Estoril Winner?
KXRAINNYCM,200,0,0,200,33,28,84.84848484848484,-0.07151515151515164,False,Rain in NYC in Dec 2025?
KXEUROCUPGAME,172,0,0,172,85,72,84.70588235294117,-0.07294117647058827,False,BC Lietkabelis Panevezys vs London Lions Winner?
KXAFCONADVANCE,32,0,0,32,13,11,84.61538461538461,-0.0738461538461539,False,Senegal vs Morocco
KXATPMIA,46,0,0,46,13,11,84.61538461538461,-0.0738461538461539,False,Will Jakub Mensik be a winner of the final of ATP Miami?
KXFOWOMEN,272,0,0,272,45,38,84.44444444444444,-0.07555555555555561,False,Will Qinwen Zheng win the French Open?
KXFOMEN,281,0,0,281,38,32,84.21052631578947,-0.07789473684210536,False,Will Alexander Zverev win the French Open?
KXWTAIT,60,0,0,60,19,16,84.21052631578947,-0.07789473684210536,False,Will Jasmine Paolini be a winner of the final of WTA Rome?
KXUECLGAME,261,0,0,261,63,53,84.12698412698413,-0.07873015873015878,False,Crystal Palace vs Zrinjski Mostar Winner?
KXCLUBWCGAME,186,0,0,186,44,37,84.0909090909091,-0.07909090909090909,False,PSG vs Real Madrid Winner?
KXARGLNBGAME,174,0,0,174,25,21,84.0,-0.08000000000000006,False,CA San Lorenzo de Almagro vs Ferro Carril Oeste Winner?
KXBELGIANPLGAME,339,0,0,339,61,51,83.60655737704919,-0.08393442622950818,False,Standard vs La Louviere Winner?
KXWTAMIA,30,0,0,30,6,5,83.33333333333334,-0.08666666666666656,False,Will Aryna Sabalenka be a winner of the final of WTA Miami?
KXBOXING,82,0,0,82,6,5,83.33333333333334,-0.08666666666666656,False,Emanuel Navarrete vs Eduardo Nunez Winner?
KXSERIEASPREAD,632,0,0,632,12,10,83.33333333333334,-0.08666666666666656,False,Pisa wins by over 2.5 goals?
KXTENNISEXHIBITION,68,0,0,68,6,5,83.33333333333334,-0.08666666666666656,False,Will Radka Zelnickova win the Zelnickova vs Kuzmova match?
KXHIGHHOU,420,0,0,420,24,20,83.33333333333334,-0.08666666666666656,False,"Will the **high temp in Houston** be >64° on Jan 28, 2025?"
KXLIGAMXGAME,267,0,0,267,53,44,83.01886792452831,-0.08981132075471698,False,Queretaro vs Juarez Winner?
KXVAXX,65,0,0,64,23,19,82.6086956521739,-0.09391304347826103,False,Will more than 258.68 million Americans be **vaccinated for 
KXHOCHULMENTION,197,0,0,197,90,74,82.22222222222221,-0.09777777777777785,False,What will Kathy Hochul say during next Governor Kathy Hochul
KXEREDIVISIEGAME,381,0,0,381,67,55,82.08955223880598,-0.09910447761194029,False,Telstar vs Breda Winner?
KXAPRPOTUS,1000,0,0,1000,11,9,81.81818181818183,-0.10181818181818181,False,Will the President's approval rating be above 42.7 according
KXATPMAD,58,0,0,58,11,9,81.81818181818183,-0.10181818181818181,False,Will Jack Draper be a winner of the final of ATP Madrid?
KXNCAAFPREPACKSGP,48,0,0,48,11,9,81.81818181818183,-0.10181818181818181,False,"Miami (FL) covers +7.5 spread, Total score is under 48.5 poi"
KXTORNADO,380,0,0,380,11,9,81.81818181818183,-0.10181818181818181,False,Will there be more than 75 tornadoes in December?
KXCRICKETT20IMATCH,136,0,0,136,49,40,81.63265306122449,-0.10367346938775514,False,Sri Lanka vs England Winner?
KXF1RACEPODIUM,447,0,0,447,16,13,81.25,-0.10750000000000004,False,Abu Dhabi Grand Prix 2025 Podium Finishers?
KXEPLTOTAL,604,0,0,604,79,64,81.0126582278481,-0.10987341772151892,False,Chelsea at Aston Villa: Totals
KXBRASILEIROGAME,372,0,0,372,73,59,80.82191780821918,-0.11178082191780825,False,Gremio vs Atletico Mineiro Winner?
KXCPICORE,384,0,0,384,15,12,80.0,-0.12,False,Will CPI Core rise more than 0.5% in February?
KXSWISSLEAGUEGAME,186,0,0,186,50,40,80.0,-0.12,False,Luzern vs Basel Winner?
KXPGARYDERMATCH,58,0,0,58,15,12,80.0,-0.12,False,Singles: Justin Rose vs Cameron Young Winner?
KXDARTSMATCH,244,0,0,244,20,16,80.0,-0.12,False,Will Luke Littler win the Luke Littler vs Jonny Clayton dart
